NUTS_ID,LEVL_CODE,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE,NAME_ENGL,NAME_FREN,ISO3_CODE,SVRG_UN,CAPT,EU_STAT,EFTA_STAT,CC_STAT,NAME_GERM,geo,geo_level,TIME_PERIOD,unit,gdp_pc_index,obs_flag,conf_status,is_eu,sample_group,log_gdp_pc_index,gdp_map_class
BG41,2,BG,Yugozapaden,Югозападен,,,,Bulgaria,Bulgarie,BGR,UN Member State,Sofia,T,F,F,Bulgarien,BG41,NUTS 2,2023,PPS_HAB_EU27_2020,101,,,True,EU27,4.61512051684126,100-124
BG42,2,BG,Yuzhen tsentralen,Южен централен,,,,Bulgaria,Bulgarie,BGR,UN Member State,Sofia,T,F,F,Bulgarien,BG42,NUTS 2,2023,PPS_HAB_EU27_2020,41,,,True,EU27,3.713572066704308,<50
CY00,2,CY,Kýpros,Κύπρος,,,,Cyprus,Chypre,CYP,UN Member State,Nicosia,T,F,F,Zypern,CY00,NUTS 2,2023,PPS_HAB_EU27_2020,97,,,True,EU27,4.574710978503383,75-99
CZ01,2,CZ,Praha,Praha,,,,Czechia,Tchéquie,CZE,UN Member State,Prague,T,F,F,Tschechien,CZ01,NUTS 2,2023,PPS_HAB_EU27_2020,197,,,True,EU27,5.2832037287379885,150+
CZ02,2,CZ,Střední Čechy,Střední Čechy,,,,Czechia,Tchéquie,CZE,UN Member State,Prague,T,F,F,Tschechien,CZ02,NUTS 2,2023,PPS_HAB_EU27_2020,82,,,True,EU27,4.406719247264253,75-99
CZ03,2,CZ,Jihozápad,Jihozápad,,,,Czechia,Tchéquie,CZE,UN Member State,Prague,T,F,F,Tschechien,CZ03,NUTS 2,2023,PPS_HAB_EU27_2020,77,,,True,EU27,4.343805421853684,75-99
CZ04,2,CZ,Severozápad,Severozápad,,,,Czechia,Tchéquie,CZE,UN Member State,Prague,T,F,F,Tschechien,CZ04,NUTS 2,2023,PPS_HAB_EU27_2020,62,,,True,EU27,4.127134385045092,50-74
CZ05,2,CZ,Severovýchod,Severovýchod,,,,Czechia,Tchéquie,CZE,UN Member State,Prague,T,F,F,Tschechien,CZ05,NUTS 2,2023,PPS_HAB_EU27_2020,74,,,True,EU27,4.30406509320417,50-74
CZ06,2,CZ,Jihovýchod,Jihovýchod,,,,Czechia,Tchéquie,CZE,UN Member State,Prague,T,F,F,Tschechien,CZ06,NUTS 2,2023,PPS_HAB_EU27_2020,85,,,True,EU27,4.442651256490317,75-99
CZ07,2,CZ,Střední Morava,Střední Morava,,,,Czechia,Tchéquie,CZE,UN Member State,Prague,T,F,F,Tschechien,CZ07,NUTS 2,2023,PPS_HAB_EU27_2020,74,,,True,EU27,4.30406509320417,50-74
CZ08,2,CZ,Moravskoslezsko,Moravskoslezsko,,,,Czechia,Tchéquie,CZE,UN Member State,Prague,T,F,F,Tschechien,CZ08,NUTS 2,2023,PPS_HAB_EU27_2020,70,,,True,EU27,4.248495242049359,50-74
