NUTS_ID,CNTR_CODE,NAME_LATN,NAME_ENGL,EU_STAT,CC_STAT,is_eu,sample_group,TIME_PERIOD,unit,gdp_pc_index,log_gdp_pc_index,obs_flag,conf_status,gdp_map_class,queen_degree,is_queen_island,z_log_gdp,spatial_lag,local_moran_i,local_perm_mean,local_p_two_sided,local_q_bh,local_p_holm,lisa_quadrant,lisa_fdr_cluster,lisa_holm_cluster
BG32,BG,Severen tsentralen,Bulgaria,T,F,True,EU27,2023,PPS_HAB_EU27_2020,43,3.7612001156935624,,,<50,5,False,-1.669603862476999,-1.239305642853077,2.069149488097038,-0.007721473028779609,0.00459,0.051743750000000005,1.0,Low-Low,Not significant,Not significant
BG33,BG,Severoiztochen,Bulgaria,T,F,True,EU27,2023,PPS_HAB_EU27_2020,50,3.912023005428146,,,50-74,3,False,-1.294340968605761,-1.2469289921797169,1.6139512795205,-0.0036979547476575446,0.02987,0.152337,1.0,Low-Low,Not significant,Not significant
BG34,BG,Yugoiztochen,Bulgaria,T,F,True,EU27,2023,PPS_HAB_EU27_2020,54,3.9889840465642745,,,50-74,5,False,-1.1028539664477277,-1.3272846318021065,1.463801120788065,-0.002333213943892353,0.00266,0.0357,0.63042,Low-Low,Low-Low,Not significant
BG41,BG,Yugozapaden,Bulgaria,T,F,True,EU27,2023,PPS_HAB_EU27_2020,101,4.61512051684126,,,100-124,6,False,0.45503810290563124,-1.6926254763879012,-0.7702090857052909,-0.001694177737751278,6e-05,0.002185714285714286,0.01494,High-Low,High-Low,High-Low
BG42,BG,Yuzhen tsentralen,Bulgaria,T,F,True,EU27,2023,PPS_HAB_EU27_2020,41,3.713572066704308,,,<50,5,False,-1.7881073570367538,-0.8289180812411294,1.482194519448053,-0.008973374712658147,0.05973,0.21758785714285714,1.0,Low-Low,Not significant,Not significant
CY00,CY,Kýpros,Cyprus,T,F,True,EU27,2023,PPS_HAB_EU27_2020,97,4.574710978503383,,,75-99,0,True,,,,,,,,No contiguity neighbor,No contiguity neighbor,No contiguity neighbor
CZ01,CZ,Praha,Czechia,T,F,True,EU27,2023,PPS_HAB_EU27_2020,197,5.2832037287379885,,,150+,1,False,2.117297988552625,-0.0634857341958336,-0.13441821731462508,-0.018666756305119585,0.94631,0.9790873493975903,1.0,High-Low,Not significant,Not significant
CZ02,CZ,Střední Čechy,Czechia,T,F,True,EU27,2023,PPS_HAB_EU27_2020,82,4.406719247264253,,,75-99,5,False,-0.0634857341958336,0.16903428904055234,-0.010731265944010214,0.00010463221317268455,0.70038,0.8449641509433962,1.0,Low-High,Not significant,Not significant
CZ03,CZ,Jihozápad,Czechia,T,F,True,EU27,2023,PPS_HAB_EU27_2020,77,4.343805421853684,,,75-99,7,False,-0.22002181588494119,0.34054552050034836,-0.07492744381196911,0.00026338927808690555,0.36135,0.6184177852348993,1.0,Low-High,Not significant,Not significant
CZ04,CZ,Severozápad,Czechia,T,F,True,EU27,2023,PPS_HAB_EU27_2020,62,4.127134385045092,,,50-74,7,False,-0.7591216861629866,0.18272481721662556,-0.13871037134930833,-0.0006152352141499239,0.62667,0.80427,1.0,Low-High,Not significant,Not significant
CZ05,CZ,Severovýchod,Czechia,T,F,True,EU27,2023,PPS_HAB_EU27_2020,74,4.30406509320417,,,50-74,6,False,-0.31889984930980475,-0.15489315078746196,0.04939540244524249,0.0001956232104969463,0.70187,0.8449641509433962,1.0,Low-Low,Not significant,Not significant
CZ06,CZ,Jihovýchod,Czechia,T,F,True,EU27,2023,PPS_HAB_EU27_2020,85,4.442651256490317,,,75-99,6,False,0.02591680800786937,-0.16399843705813763,-0.004250316006826403,-5.017600353411428e-05,0.68722,0.8384741626794259,1.0,High-Low,Not significant,Not significant
CZ07,CZ,Střední Morava,Czechia,T,F,True,EU27,2023,PPS_HAB_EU27_2020,74,4.30406509320417,,,50-74,7,False,-0.31889984930980475,-0.40932819909287593,0.13053470100897188,0.0002657519061540893,0.27664,0.5186999999999999,1.0,Low-Low,Not significant,Not significant
CZ08,CZ,Moravskoslezsko,Czechia,T,F,True,EU27,2023,PPS_HAB_EU27_2020,70,4.248495242049359,,,50-74,4,False,-0.4571633661608987,-0.5084554697897352,0.23244721411199648,0.00012747844247293756,0.30799,0.5530806338028168,1.0,Low-Low,Not significant,Not significant
DE11,DE,Stuttgart,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,156,5.049856007249537,p,,150+,5,False,1.5367048080472325,0.9178037696178614,1.410393465615642,-0.012345554842975844,0.0365,0.16047413793103446,1.0,High-High,Not significant,Not significant
DE12,DE,Karlsruhe,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,126,4.836281906951478,p,,125-149,7,False,1.0053104349859783,0.8897785189871849,0.8945036299641863,-0.005853998874666123,0.01622,0.10448624999999997,1.0,High-High,Not significant,Not significant
DE13,DE,Freiburg,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,107,4.672828834461906,p,,100-124,3,False,0.5986223447198136,0.7221454451543367,0.43229239960702254,-0.002803366294253417,0.20469,0.412721484375,1.0,High-High,Not significant,Not significant
DE14,DE,Tübingen,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,124,4.820281565605037,p,,100-124,5,False,0.9654999366779335,0.9716404251952587,0.9381187689997428,-0.005834132930590541,0.02795,0.14816020408163263,1.0,High-High,Not significant,Not significant
DE21,DE,Oberbayern,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,174,5.159055299214529,p,,150+,7,False,1.8084039008280863,0.9942409466119471,1.7979892062160543,-0.01615207227032127,0.00667,0.0597051724137931,1.0,High-High,Not significant,Not significant
