weights,nodes,edges,isolates,components,component_sizes,degree_min,degree_median,degree_mean,degree_max
queen,276,590,21,25,238;12;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0,5.0,4.27536231884058,11
rook,276,588,21,25,238;12;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0,5.0,4.260869565217392,11
