specification,n,edges,s0,moran_i,expected_i,permutation_mean,permutation_sd,p_greater,p_two_sided,permutations,seed
"Primary: log, queen",255,590,255.0,0.5997091978423328,-0.003937007874015748,-0.0037060273703836727,0.04479852162474975,1e-05,1e-05,99999,20260723
"Raw index, queen",255,590,255.0,0.4595912251498175,-0.003937007874015748,-0.003975619280228838,0.044284936667241016,1e-05,1e-05,99999,20260724
"Rank-normalized, queen",255,590,255.0,0.5867638111659725,-0.003937007874015748,-0.003908215058650938,0.04475910480528667,1e-05,1e-05,99999,20260725
"Log, rook",255,588,255.0,0.5990350766771497,-0.003937007874015748,-0.003902412571842017,0.04498995179019608,1e-05,1e-05,99999,20260726
"EU27 only: log, queen",223,513,222.99999999999997,0.5025864814261873,-0.0045045045045045045,-0.004451962706190492,0.048223773332787954,1e-05,1e-05,99999,20260727
"Largest component: log, queen",238,571,238.0,0.5995358695437075,-0.004219409282700422,-0.004192780452200925,0.0446595619190343,1e-05,1e-05,99999,20260728
"Largest component: log, symmetric 5-NN",238,701,238.0,0.551610667335559,-0.004219409282700422,-0.004175815274483978,0.03757116602422267,1e-05,1e-05,99999,20260729
