STRUCTURE,STRUCTURE_ID,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE14,2023,124,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE2,2023,138,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE21,2023,174,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE22,2023,116,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE23,2023,126,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE24,2023,111,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE25,2023,129,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE26,2023,118,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE27,2023,112,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE3,2023,127,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE30,2023,127,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE4,2023,87,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE40,2023,87,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE5,2023,135,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE50,2023,135,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE6,2023,195,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,DE60,2023,195,p,
